timestamp_position,lon,lat,speed,course,marked_value,dbscan_label
2018-03-09 16:07:00,-6.2702116666666665,35.877381666666665,15.7,87.2,0,0
2018-03-09 16:10:00,-6.253453804717113,35.87812998025668,15.703015589955088,,0,0
2018-03-09 16:20:00,-6.199534211790044,35.88055157519658,15.701809550513495,,0,0
2018-03-09 16:30:00,-6.146598398361579,35.882731374895975,15.724948818734008,,0,0
2018-03-09 16:40:00,-6.094770954355038,35.88495211957232,15.798886555469942,,0,0
2018-03-09 16:50:00,-6.040381966680767,35.88850224869149,15.852909188776776,,0,0
2018-03-09 17:00:00,-5.985978658967401,35.892980075784344,15.881985954326304,,0,0
2018-03-09 17:10:00,-5.931907442519142,35.897677386617225,16.002221659063427,,0,0
2018-03-09 17:20:00,-5.877149018870567,35.9027972769961,16.30480315599889,,0,0
2018-03-09 17:30:00,-5.820233284349373,35.90735117723343,16.47924514660169,,0,0
2018-03-09 17:40:00,-5.762558350523058,35.910229410050725,16.434279388801777,,0,0
2018-03-09 17:50:00,-5.70570567673331,35.91244249131806,16.235678867507247,,0,0
2018-03-09 18:00:00,-5.6509968436634,35.914378060296606,16.00275847022602,,0,0
2018-03-09 18:10:00,-5.597236066168482,35.919865232070826,15.936158532973117,,0,0
2018-03-09 18:20:00,-5.544735773291014,35.93306612545726,16.01077634964576,,0,0
2018-03-09 18:30:00,-5.490850320159228,35.94393493739966,16.030131240776424,,0,0
2018-03-09 18:40:00,-5.437764782032701,35.95741702021453,15.937802844921407,,0,0
2018-03-09 18:50:00,-5.3884265687791855,35.97143976706649,15.534062806477001,,0,0
2018-03-09 19:00:00,-5.343209273057779,35.99358904283966,14.377930362221408,,0,0
2018-03-09 19:10:00,-5.333572777126716,36.02961085567062,11.975369872359062,,0,0
2018-03-09 19:20:00,-5.325351397880442,36.06048497971177,8.909872600676369,,0,0
2018-03-09 19:30:00,-5.324184907620832,36.07112986159859,5.122341326017047,,0,0
2018-03-09 19:40:00,-5.3190545413835855,36.0739115449257,3.9184523822201123,,0,0
2018-03-09 19:50:00,-5.32256061140684,36.08046099899239,3.764254615396492,,0,0
2018-03-09 20:00:00,-5.332839369266594,36.082199214745884,3.963474496060501,,0,0
2018-03-09 20:10:00,-5.346757943808171,36.08417646417309,4.835744505023226,,0,0
2018-03-09 20:20:00,-5.359162905407592,36.09577879245767,4.075326792477116,,0,0
2018-03-09 20:30:00,-5.362863333333333,36.10561166666667,5.4,18.6,0,0
2018-03-09 20:40:00,-5.355791666666667,36.113996666666665,2.2,20.9,0,1
2018-03-09 20:50:00,-5.3542266666666665,36.114158333333336,0.3,60.5,0,1
2018-03-09 21:00:00,-5.353707125524085,36.11530505458767,0.6222521853597134,,1,1
2018-03-09 21:10:00,-5.353654687818852,36.115929910059265,0.37087609571578944,,1,1
2018-03-09 21:20:00,-5.353847103922035,36.11625201642249,0.22574049657928702,,1,1
2018-03-09 21:30:00,-5.354056688567728,36.116514699002444,0.15716181112585864,,1,1
2018-03-09 21:40:00,-5.354182637656532,36.11678002774271,0.12553101428648286,,1,1
2018-03-09 21:50:00,-5.3543666666666665,36.11672833333333,0.1,343.3,1,1
2018-03-09 22:00:00,-5.3544958675937115,36.116790930882814,0.10826741070971838,,1,1
2018-03-09 22:10:00,-5.354971415061221,36.11685373805813,0.10828335956791617,,1,1
2018-03-09 22:20:00,-5.355423320769376,36.116858735394565,0.11368578894555564,,1,1
2018-03-09 22:30:00,-5.355763104298923,36.11682307097967,0.12363248486036818,,1,1
2018-03-09 22:40:00,-5.355754523135245,36.116771246099354,0.14842329978608926,,1,1
2018-03-09 22:50:00,-5.355414192466876,36.116862139933424,0.1393347863355147,,1,1
2018-03-09 23:00:00,-5.354981953569039,36.11695461764757,0.14543642740149434,,1,1
2018-03-09 23:10:00,-5.354728243102435,36.11687023314832,0.1289024373222518,,1,1
2018-03-09 23:20:00,-5.354443298926652,36.116853032761306,0.11297518589228972,,1,1
2018-03-09 23:30:00,-5.3542614919239035,36.11685046613559,0.10475211346681303,,1,1
2018-03-09 23:40:00,-5.354263980894123,36.1167274051642,0.10011126080342131,,1,1
2018-03-09 23:50:00,-5.354058333333334,36.11647,0.1,80.8,1,1
2018-03-10 00:00:00,-5.353801121740886,36.11640434962713,0.09012567302649876,,1,1
2018-03-10 00:10:00,-5.35364810307081,36.11638623324357,0.07634991715229844,,1,1
2018-03-10 00:20:00,-5.353608342867408,36.11632813369832,0.09286771422820796,,1,1
2018-03-10 00:30:00,-5.353550124629627,36.11610445483191,0.13619880085405983,,1,1
2018-03-10 00:40:00,-5.353436134532323,36.1156321674534,0.18443578299839408,,1,1
2018-03-10 00:50:00,-5.353555,36.114936666666665,0.3,201.8,1,1
2018-03-10 01:00:00,-5.354087168822706,36.11454208317834,0.19243698006394966,,1,1
2018-03-10 01:10:00,-5.354572719283754,36.1144615550844,0.15573483724909756,,1,1
2018-03-10 01:20:00,-5.355001759799562,36.11434415499642,0.1355385291157504,,1,1
2018-03-10 01:30:00,-5.355471050422368,36.11430255097696,0.1365046171324022,,1,1
2018-03-10 01:40:00,-5.355967510047911,36.114446794178185,0.14269917321558329,,1,1
2018-03-10 01:50:00,-5.356151666666666,36.11441,0.1,166.6,1,1
2018-03-10 02:00:00,-5.355964231003253,36.11430090873939,0.10834154441936475,,1,1
2018-03-10 02:10:00,-5.35561349795786,36.11413364461726,0.10272228365878842,,1,1
2018-03-10 02:20:00,-5.355289730420001,36.11411114734713,0.09776325683003861,,1,1
